label,OOF_tuned,LB_public,gap,Δ_vs_primary,notes,composition_json,w__bias_alt,w__bias_alt2,w__l1_override,w_lr_metastack_v1_iso,w_lr_metastack_v2_iso,w_macrorec_hybrid075_iso,w_mlp_metastack_iso,w_n5b_v1_geo_mean,w_p3_perturbed_v1_iso,w_realmlp,w_recipe_full_te,w_recipe_full_te_catboost,w_recipe_pseudolabel,w_recipe_pseudolabel_seed7labeler,w_sklearn_rf_meta,w_soft_distill,w_soft_distill_small,w_xgb_metastack_combined_v6_iso,w_xgb_metastack_iso,w_xgb_metastack_iso_perfold,w_xgb_metastack_n5b_iso,w_xgb_metastack_v3_iso,w_xgb_metastack_v4,w_xgb_metastack_v6,w_xgb_nonrule_iso,w_xgb_nonrule_iso_perfold
tier1b_greedy_meta,0.98084,0.98094,-0.0001,0.0,LB-best primary 4-stack. Composition: 0.70 × LB-3-stack + 0.30 × meta_iso.,"{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""xgb_metastack_iso"": 0.3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0525,0.0
primary_oof_optimal_bias,0.98094,0.98093,1e-05,-1e-05,PRIMARY composition at OOF-optimal bias. 185 test rows differ. Gap +0.00001 — tightest ever.,"{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""xgb_metastack_iso"": 0.3, ""_bias_alt"": 1.0}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0525,0.0
mlp_metastack,0.98118,0.98091,0.00027,-3e-05,"MLP-meta + XGB-meta at L3, both iso, weighted 50/50 onto LB-3-stack at α=0.50. Gap +0.00027.","{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""xgb_metastack_iso"": 0.25, ""mlp_metastack_iso"": 0.25}",0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
leak_honest_primary_retuned,0.98089,0.98089,0.0,-5e-05,"Per-fold-iso version at retuned bias. Gap 0 — perfectly calibrated, slightly LB-inferior.","{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso_perfold"": 0.0525, ""xgb_metastack_iso_perfold"": 0.3, ""_bias_alt2"": 1.0}",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0525
tier1b_greedy_meta_l1override,0.98091,0.98062,0.00029,-0.00032,PRIMARY + L1 override (36 rows). Gap +0.00029.,"{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""xgb_metastack_iso"": 0.3, ""_l1_override"": 1.0}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0525,0.0
three_meta_l3_mlp090_lr010_a060,0.98152,0.9806,0.00092,-0.00034,L3 weighted (90% MLP + 10% LR-v2) at α=0.60 onto 3-stack. Gap +0.00092.,"{""recipe_full_te"": 0.1, ""recipe_pseudolabel"": 0.14, ""recipe_pseudolabel_seed7labeler"": 0.16, ""realmlp"": 0.1, ""xgb_nonrule_iso"": 0.04, ""mlp_metastack_iso"": 0.54, ""lr_metastack_v2_iso"": 0.06}",0.0,0.0,0.0,0.0,0.06,0.0,0.54,0.0,0.0,0.1,0.1,0.0,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
metastack_v3_iso_a300,0.98099,0.9806,0.00039,-0.00034,Cross-poll metastack v3 at α=0.30. Gap +0.00039.,"{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""xgb_metastack_v3_iso"": 0.3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0525,0.0
sklearn_rf_meta_tuned,0.98069,0.98059,0.0001,-0.00035,sklearn RF meta-stacker standalone. Gap +0.00010 — tightest non-XGB-meta calibration.,"{""sklearn_rf_meta"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_v6_a030,0.98122,0.98059,0.00063,-0.00035,Combined v6 (aux + masked + poly) at α=0.50. Gap +0.00063.,"{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""xgb_metastack_combined_v6_iso"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
n5b_angle1_geo_mean_a030,0.98094,0.98055,0.00039,-0.00039,N5b geo-mean v1+new at α=0.30. Gap +0.00046.,"{""recipe_full_te"": 0.0455, ""recipe_pseudolabel"": 0.0635, ""recipe_pseudolabel_seed7labeler"": 0.0725, ""realmlp"": 0.0455, ""xgb_nonrule_iso"": 0.018, ""xgb_metastack_iso"": 0.105, ""n5b_v1_geo_mean"": 0.65}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0455,0.0455,0.0,0.0635,0.0725,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.018,0.0
lr_metastack_v2,0.98107,0.98052,0.00055,-0.00042,"LR v2 (C=0.1, no class_weight) at α=0.30. Gap +0.00055 — 3x tighter than v1.","{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""lr_metastack_v2_iso"": 0.3}",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0
R2_hybrid075_a015,0.9814,0.98048,0.00092,-0.00046,Macrorec hybrid 0.75 at α=0.15. Gap +0.00092 (selection bias from 24-pt grid).,"{""recipe_full_te"": 0.11, ""recipe_pseudolabel"": 0.1538, ""recipe_pseudolabel_seed7labeler"": 0.176, ""realmlp"": 0.11, ""xgb_nonrule_iso"": 0.0444, ""macrorec_hybrid075_iso"": 0.15, ""xgb_metastack_iso"": 0.255}",0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.11,0.11,0.0,0.1538,0.176,0.0,0.0,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,0.0444,0.0
n5b_angle2_swap_a350,0.98094,0.98025,0.00069,-0.00069,N5b angle2 swap at α=0.35. Gap +0.00069.,"{""recipe_full_te"": 0.0975, ""recipe_pseudolabel"": 0.1365, ""recipe_pseudolabel_seed7labeler"": 0.156, ""realmlp"": 0.0975, ""xgb_nonrule_iso"": 0.039, ""xgb_metastack_n5b_iso"": 0.35}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.0975,0.0,0.1365,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.039,0.0
v6_full_a350,0.9805,0.98012,0.00038,-0.00082,v6 meta-stacker (108-pool + aggregates) at α=0.35. Gap +0.00038.,"{""recipe_full_te"": 0.0845, ""recipe_pseudolabel"": 0.1183, ""recipe_pseudolabel_seed7labeler"": 0.1351, ""realmlp"": 0.0845, ""xgb_nonrule_iso"": 0.0341, ""xgb_metastack_iso"": 0.195, ""xgb_metastack_v6"": 0.35}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0845,0.0845,0.0,0.1183,0.1351,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.35,0.0341,0.0
lb3_realmlp_nonruleiso,0.98061,0.98008,0.00053,-0.00086,LB-best 3-stack: lb3 + RealMLP@0.20 + nonrule_iso@0.075,"{""recipe_full_te"": 0.185, ""recipe_pseudolabel"": 0.259, ""recipe_pseudolabel_seed7labeler"": 0.296, ""realmlp"": 0.185, ""xgb_nonrule_iso"": 0.075}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.185,0.0,0.259,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0
3way_recipe025_s1035_s7040,0.98029,0.98005,0.00024,-0.00089,3-way multi-seed log-blend,"{""recipe_full_te"": 0.25, ""recipe_pseudolabel"": 0.35, ""recipe_pseudolabel_seed7labeler"": 0.4}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recipe_x_pseudolabel_50_50,0.98012,0.97998,0.00014,-0.00096,2-way recipe × pseudo_s1 50/50 log-blend,"{""recipe_full_te"": 0.5, ""recipe_pseudolabel"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tier1c_meta_v4_a035,0.98121,0.97992,0.00129,-0.00102,Meta v4 (with ET+kNN bank-add) at α=0.35. Gap +0.00129.,"{""recipe_full_te"": 0.13, ""recipe_pseudolabel"": 0.181, ""recipe_pseudolabel_seed7labeler"": 0.207, ""realmlp"": 0.13, ""xgb_nonrule_iso"": 0.0525, ""xgb_metastack_v4"": 0.35}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.181,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0525,0.0
lr_metastack_v1,0.98167,0.97991,0.00176,-0.00103,"LR meta-stacker (C=1.0, balanced) at α=0.50. Gap +0.00176.","{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""lr_metastack_v1_iso"": 0.5}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
tier1c_lr_v2_iso_4stack_a050,0.98167,0.97991,0.00176,-0.00103,LR v2 at α=0.50. Gap +0.00176 (= LR v1's gap; α 0.30→0.50 inflated 3x).,"{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""lr_metastack_v2_iso"": 0.5}",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
n5b_angle2_swap_a425,0.98101,0.97988,0.00113,-0.00106,N5b angle2 swap at α=0.425. Gap +0.00113.,"{""recipe_full_te"": 0.0863, ""recipe_pseudolabel"": 0.1208, ""recipe_pseudolabel_seed7labeler"": 0.138, ""realmlp"": 0.0863, ""xgb_nonrule_iso"": 0.0345, ""xgb_metastack_n5b_iso"": 0.425}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.0863,0.0,0.1208,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.0,0.0345,0.0
p3_perturbed_v1,0.98122,0.97955,0.00167,-0.00139,P3 perturbed meta v1 at α=0.50. Gap +0.00177.,"{""recipe_full_te"": 0.0925, ""recipe_pseudolabel"": 0.1295, ""recipe_pseudolabel_seed7labeler"": 0.148, ""realmlp"": 0.0925, ""xgb_nonrule_iso"": 0.0375, ""p3_perturbed_v1_iso"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0925,0.0925,0.0,0.1295,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
recipe_full_te,0.97967,0.97939,0.00028,-0.00155,Pure V10 recipe single model,"{""recipe_full_te"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recipe_full_te_catboost,0.97936,0.97935,1e-05,-0.00159,"CatBoost on recipe FE, single model. Tightest calibration in ladder (gap +0.00001).","{""recipe_full_te_catboost"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_distill_small,0.98066,0.97865,0.00201,-0.00229,"Soft distill small (depth=3, rounds=1500). Gap +0.00201 — capacity reduction insufficient.","{""soft_distill_small"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_distill,0.98096,0.9785,0.00246,-0.00244,"Soft distill (depth=4, rounds=3000). Gap +0.00246 — student memorizes teacher OOF noise.","{""soft_distill"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
